propellant,duration_h,radius_m,length_m,m_dot_liq_out_kg_s,m_dot_gas_out_kg_s,tank_dry_mass_kg,initial_total_mass_kg,final_total_mass_kg,initial_fuel_mass_kg,final_fuel_mass_kg,final_fill_level,final_pressure_Pa,final_liquid_temperature_K,final_gas_temperature_K,min_pressure_Pa,max_pressure_Pa
LNG,1.0,0.75,1.0,0.0,0.0,448.32259072104705,1866.699633186453,nan,1418.3770424654058,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,1.0,0.02,0.0,448.32259072104705,1866.699633186453,nan,1418.3770424654058,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,1.0,0.05,0.0,448.32259072104705,1866.699633186453,nan,1418.3770424654058,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,1.0,0.1,0.0,448.32259072104705,1866.699633186453,nan,1418.3770424654058,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,2.0,0.0,0.0,738.0639933292238,2865.629557027333,nan,2127.565563698109,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,2.0,0.02,0.0,738.0639933292238,2865.629557027333,nan,2127.565563698109,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,2.0,0.05,0.0,738.0639933292238,2865.629557027333,nan,2127.565563698109,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,2.0,0.1,0.0,738.0639933292238,2865.629557027333,nan,2127.565563698109,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,3.0,0.0,0.0,1051.4777771077177,3888.2318620385295,nan,2836.7540849308116,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,3.0,0.02,0.0,1051.4777771077177,3888.2318620385295,nan,2836.7540849308116,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,3.0,0.05,0.0,1051.4777771077177,3888.2318620385295,nan,2836.7540849308116,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,3.0,0.1,0.0,1051.4777771077177,3888.2318620385295,nan,2836.7540849308116,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,4.0,0.0,0.0,1387.1102621246273,4933.052868288142,nan,3545.942606163515,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,4.0,0.02,0.0,1387.1102621246273,4933.052868288142,nan,3545.942606163515,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,4.0,0.05,0.0,1387.1102621246273,4933.052868288142,nan,3545.942606163515,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,0.75,4.0,0.1,0.0,1387.1102621246273,4933.052868288142,nan,3545.942606163515,nan,nan,nan,nan,nan,nan,nan
LNG,1.0,1.0,1.0,0.0,0.0,875.4996966261606,3817.318747665521,3817.3187476655207,2941.8190510393606,2941.819051039362,0.9496854498312189,413841.4703052599,33.0,146.61028970459103,150012.9431203908,413841.4703052599
LNG,1.0,1.0,1.0,0.02,0.0,875.4996966261606,3817.318747665521,nan,2941.8190510393606,nan,nan,nan,nan,nan,nan,nan
