mode,mach,altitude_ft,throttle,thrust_lbf,fuel_flow_lbm_s,fan1_speed_rpm,fan2_speed_rpm,fan1_shaft_power_hp,fan2_shaft_power_hp,fan_speed_delta_rpm,fan_speed_delta_fraction,fan_power_delta_hp,fan_power_delta_fraction,fan1_power_fraction,fan1_area_in2,fan2_area_in2,inlet_area_in2,nozzle_throat_area_in2,pycycle_point_name,pycycle_converged,pycycle_residual_norm,pycycle_solver_iterations,pycycle_solver_atol,pycycle_solver_rtol,pycycle_status,required_thrust_lbf,drag_lbf,required_thrust_to_weight,dynamic_pressure_lbf_ft2,velocity_ft_s,speed_of_sound_ft_s,lift_coefficient,parasite_cd0,wave_cd0,zero_lift_drag_coefficient,lift_dependent_k,induced_drag_coefficient,total_drag_coefficient,density_slug_ft3,temperature_R,pressure_psf,is_stall_limited
fan,0.175,750.0,1.0,1949.6926691688843,0.0,5135.0,4847.0,1587.688130253499,864.2942801925732,288.0,0.0560856864654333,723.3938500609257,0.45562717027142147,0.6475120390299464,209.2288710093688,183.54918830328407,254.16431846327657,118.00000000001087,OD_mode1,True,1.058049519912557e-09,6,1e-06,1e-06,residual_pass,25608.132342119534,25608.132342119534,0.6898242550420024,44.1500090931576,194.88890477724817,1113.6508844414182,1.7696944368073124,0.02160745432431009,0.0,0.02160745432431009,0.3828991784216706,1.19917069219827,1.2207781465225802,0.0023248051669976346,516.0720376635943,2059.47564282951,False
fan,0.35,1500.0,1.0,1683.538586471662,0.0,5135.0,4847.0,1638.012524307182,875.1632602106328,288.0,0.0560856864654333,762.8492640965493,0.46571638053818054,0.6517699774118489,209.2288710093688,183.54918830328407,252.7117466361868,117.99999999999994,OD_mode1,True,1.8327211205755015e-09,3,1e-06,1e-06,residual_pass,5580.03009054779,5580.03009054779,0.1503131914853847,171.84085066959233,388.79882393480796,1110.8537826708798,0.4546766683981442,0.019452478250121138,0.0,0.019452478250121138,0.23649792704857642,0.04889142287074587,0.06834390112086701,0.002273560543104714,513.4829080914114,2003.97493492236,False
fan,0.64,18250.0,1.0,876.1852101471255,0.0,5135.0,4847.0,1038.1950396625814,614.1108565640188,288.0,0.0560856864654333,424.08418309856245,0.4084821896629288,0.6283310142713437,209.2288710093688,183.54918830328407,179.99999999999997,117.99999999999999,OD_mode1,False,4601050.541397223,50,1e-06,1e-06,residual_fail,4246.987646247489,4246.987646247489,0.11440409047037818,299.8150738373835,667.6368576862085,1043.1825901347006,0.26060072456373967,0.018650402838544574,0.0,0.018650402838544574,0.16437838347425593,0.011163386031091606,0.02981378886963618,0.0013452495335753566,452.82756577304497,1045.6719930154281,False
fan,0.93,34999.99999999999,1.0,458.82285862959344,0.0,5135.0,4847.0,654.7365108727764,407.3508210677292,288.0,0.0560856864654333,247.38568980504724,0.37784007107726025,0.6164620282934063,209.2288710093688,183.54918830328407,179.99999999999997,118.00000000000001,OD_mode1,False,1298803.2478762001,50,1e-06,1e-06,residual_fail,4250.252996333818,4250.252996333818,0.1144920515001269,301.40489413923456,908.8392190163017,977.2464720605395,0.25922613400252226,0.018438603619165432,0.0004791171467741475,0.018917720765939578,0.16014733954421503,0.010761611118455998,0.029679331884395574,0.0007298038921453831,397.3931879592512,497.836073764489,False
fan_ab,1.315,39000.0,1.0,3377.359564210609,1.5796122950586362,6000.0,6000.0,1116.296123074503,989.3599457594521,0.0,0.0,126.9361773150509,0.11371192167669925,0.5301417166824742,209.2288710093688,183.54918830328407,254.09479375944758,246.00070145005705,OD_mode2,True,3.114641637630943e-11,6,1e-06,1e-06,residual_pass,11174.141289027864,11174.141289027864,0.3010056956695552,497.613652666584,1276.911686654388,971.0355031592303,0.1570134281052454,0.016810128037477064,0.026962659236809412,0.043772787274286476,0.1415291536941213,0.0034891488819946102,0.04726193615628109,0.0006103803705862923,392.3579110040815,411.09551774150185,False
fan_ab,1.7,43000.0,1.0,4111.288477625426,1.9881410667976571,6000.0,6000.0,1476.7115441868496,1218.4274861100841,0.0,0.0,258.28405807676535,0.1749048817919205,0.5479166483014996,209.2288710093688,183.54918830328407,248.127672211557,246.00070145005714,OD_mode2,True,2.000454554274125e-08,5,1e-06,1e-06,residual_pass,13054.368144397258,13054.368144397258,0.3516546876572234,685.4942350204484,1645.4020932585402,967.8835842697296,0.11397911387952453,0.01533647988480327,0.022799398530793127,0.038135878415596396,0.14974794666541216,0.0019454112751549056,0.0400812896907513,0.000506395351777579,389.81490775717083,338.8503386161387,False
fan_ab,1.8599999999999999,46500.0,1.0,4084.203321121595,2.017626874851753,6000.0,6000.0,1542.9999478303373,1205.9985933260352,0.0,0.0,337.00135450430196,0.21840658839825017,0.5612952952609683,209.2288710093688,183.54918830328407,245.48952099459635,246.0007014574108,OD_mode2,True,7.948261183161326e-07,4,1e-06,1e-06,residual_pass,12653.86530709925,12653.86530709925,0.34086606130641,693.1666507317443,1797.8509665976085,966.58654118151,0.11271751950944675,0.014941868336819873,0.021541111015285233,0.03648297935210511,0.15258253167266536,0.0019385975633084323,0.03842157691541354,0.0004289041801990448,388.7708401382209,286.2290647687365,False
fan_ab,2.02,49999.99999999999,1.0,4042.1004158875744,2.049501435490629,6000.0,6000.0,1635.1614448909365,1163.0235589034105,0.0,0.0,472.1378859875259,0.2887408380760941,0.584365023282468,209.2288710093688,183.54918830328407,242.6456215427512,246.00070159330005,OD_mode2,True,6.500234075217144e-07,4,1e-06,1e-06,residual_pass,12127.835697796792,12127.835697796792,0.3266960320938435,690.9008539982432,1951.8469875203289,966.260884911054,0.11308717455623803,0.01456222383892461,0.020408830614627952,0.03497105445355256,0.15436090907167674,0.0019740767546742688,0.036945131208226824,0.00036270553816408914,388.50891980542934,241.88834918083782,False
ramjet,2.51,59999.99999999999,1.0,10406.038614076058,6.969596904833587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.022380726032,1032.7602975949856,OD_mode3,True,2.6285827971153653e-10,5,1e-06,1e-06,residual_pass,10406.038603088715,10406.038603088715,0.2803147738934192,659.9724928584228,2430.5775832788704,968.3576028999486,0.11838679084753025,0.013428239110288788,0.01743086736373516,0.03085910647402395,0.16599274238135758,0.002326460034369002,0.03318556650839295,0.00022342761691008435,390.1968230603747,149.6512510818248,False
ramjet,3.0,69999.99999999999,1.0,8478.086633224642,6.290356656855197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.8467443008653,753.5069852549549,OD_mode3,True,5.411423466103467e-07,5,1e-06,1e-06,residual_pass,8478.087031949206,8478.087031949206,0.2283801877021838,583.350039596053,2915.0341489048774,971.6780496349592,0.13393677924708228,0.01244890441141684,0.01490768716510881,0.02735659157652565,0.18016078087146092,0.0032319152081489518,0.0305885067846746,0.0001373004412501923,392.87733918916774,92.59524438032588,False
