# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568
# altitude_extension_method: ISA density-lapse extrapolation from highest source altitude
# source_altitude_max_ft: 25000.0
# expanded_altitude_max_ft: 100000.0
# altitude_lapse_exponent: 1.0
mach,altitude_ft,throttle,shaft_power_hp,tailpipe_thrust_lbf,fuel_flow_lb_hr
0.0,0.0,20.0,112.0,37.7,195.8
0.0,0.0,22.0,179.345,44.715,230.177
0.0,0.0,24.0,246.472,51.4137,262.388
0.0,0.0,26.0,313.528,57.8749,293.06
0.0,0.0,28.0,380.711,64.1604,322.897
0.0,0.0,30.0,448.0,70.4,352.3
0.0,0.0,32.0,515.289,76.8117,381.673
0.0,0.0,34.0,582.446,83.2393,410.785
0.0,0.0,36.0,649.488,89.6416,439.68
0.0,0.0,38.0,716.881,96.127,468.889
0.0,0.0,40.0,784.0,102.6,497.7
0.0,0.0,42.0,851.127,109.088,526.592
0.0,0.0,44.0,918.489,115.698,555.522
0.0,0.0,46.0,985.511,122.4,584.447
0.0,0.0,48.0,1052.87,129.258,614.241
0.0,0.0,50.0,1120.0,136.3,644.0
0.0,1500.0,20.0,95.7,35.6,187.4
0.0,1500.0,22.0,153.244,41.5221,216.562
0.0,1500.0,24.0,210.602,47.3391,244.57
0.0,1500.0,26.0,267.898,53.0851,271.677
0.0,1500.0,28.0,325.304,58.7932,298.13
0.0,1500.0,30.0,382.8,64.5,324.2
0.0,1500.0,32.0,440.296,70.262,350.244
0.0,1500.0,34.0,497.685,76.024,376.172
0.0,1500.0,36.0,554.972,81.7704,401.98
0.0,1500.0,38.0,612.504,87.5469,427.669
0.0,1500.0,40.0,669.9,93.3,453.3
0.0,1500.0,42.0,727.216,99.1736,479.057
0.0,1500.0,44.0,784.802,105.068,504.794
0.0,1500.0,46.0,841.998,110.926,530.406
0.0,1500.0,48.0,899.584,116.903,556.148
0.0,1500.0,50.0,956.9,122.9,581.8
0.0,3000.0,20.0,101.8,36.2,192.7
0.0,3000.0,22.0,162.929,42.5836,223.314
0.0,3000.0,24.0,223.924,48.7459,252.576
0.0,3000.0,26.0,284.876,54.7864,280.87
0.0,3000.0,28.0,345.9,60.832,308.624
0.0,3000.0,30.0,407.0,66.9,336.1
0.0,3000.0,32.0,468.161,72.9553,363.58
0.0,3000.0,34.0,529.181,79.0714,390.953
0.0,3000.0,36.0,590.053,85.2485,418.198
0.0,3000.0,38.0,651.293,91.2985,445.325
0.0,3000.0,40.0,712.3,97.5,472.5
0.0,3000.0,42.0,773.209,103.733,499.609
0.0,3000.0,44.0,834.441,109.983,526.877
0.0,3000.0,46.0,895.366,116.266,553.978
0.0,3000.0,48.0,956.504,122.647,581.294
0.0,3000.0,50.0,1017.5,129.0,608.4
0.0,5000.0,20.0,110.4,37.1,200.5
0.0,5000.0,22.0,176.866,43.9646,232.745
0.0,5000.0,24.0,243.053,50.6064,263.783
0.0,5000.0,26.0,309.147,57.1258,293.939
0.0,5000.0,28.0,375.412,63.6458,323.539
0.0,5000.0,30.0,441.8,70.2,352.9
0.0,5000.0,32.0,508.133,76.7967,382.467
0.0,5000.0,34.0,574.315,83.4152,411.939
0.0,5000.0,36.0,640.395,90.0589,441.217
0.0,5000.0,38.0,706.924,96.7873,470.388
0.0,5000.0,40.0,773.1,103.5,499.6
0.0,5000.0,42.0,839.268,110.228,528.932
0.0,5000.0,44.0,905.668,117.083,558.231
0.0,5000.0,46.0,971.726,123.965,587.488
0.0,5000.0,48.0,1038.21,130.938,617.068
0.0,5000.0,50.0,1104.4,138.1,647.0
0.0,10000.0,20.0,135.6,39.5,224.4
0.0,10000.0,22.0,217.135,47.7301,261.128
0.0,10000.0,24.0,298.408,55.7831,296.735
0.0,10000.0,26.0,379.592,63.7411,331.727
0.0,10000.0,28.0,460.933,71.6983,366.742
0.0,10000.0,30.0,542.4,79.7,401.9
0.0,10000.0,32.0,623.867,87.7931,437.162
0.0,10000.0,34.0,705.176,95.9111,472.338
0.0,10000.0,36.0,786.345,104.049,507.408
0.0,10000.0,38.0,867.938,112.328,542.761
0.0,10000.0,40.0,949.2,120.6,578.0
0.0,10000.0,42.0,1030.47,129.033,613.671
0.0,10000.0,44.0,1112.03,137.86,650.078
0.0,10000.0,46.0,1193.17,146.776,686.642
0.0,10000.0,48.0,1274.73,155.887,723.744
0.0,10000.0,50.0,1356.0,165.0,761.0
0.0,15000.0,20.0,180.0,43.4,262.4
0.0,15000.0,22.0,284.656,51.0064,305.376
0.0,15000.0,24.0,391.447,60.2227,348.477
0.0,15000.0,26.0,499.311,70.3357,392.1
0.0,15000.0,28.0,606.826,80.4284,437.065
0.0,15000.0,30.0,714.0,90.4,482.5
0.0,15000.0,32.0,821.673,100.482,526.019
0.0,15000.0,34.0,928.245,110.277,570.779
0.0,15000.0,36.0,1033.73,120.189,617.979
0.0,15000.0,38.0,1142.05,133.07,666.067
0.0,15000.0,40.0,1249.5,143.9,710.4
0.0,15000.0,42.0,1356.11,154.577,760.079
0.0,15000.0,44.0,1462.37,167.3,808.001
0.0,15000.0,46.0,1570.28,179.834,855.818
0.0,15000.0,48.0,1678.08,192.888,905.569
0.0,15000.0,50.0,1782.5,205.8,958.1
0.0,17500.0,20.0,128.9,39.8,262.4
0.0,17500.0,22.0,204.798,49.164,288.244
0.0,17500.0,24.0,281.749,56.9925,315.478
0.0,17500.0,26.0,358.991,63.9491,344.101
0.0,17500.0,28.0,435.374,70.7419,374.234
0.0,17500.0,30.0,511.3,77.9,405.5
0.0,17500.0,32.0,588.056,86.2904,437.185
0.0,17500.0,34.0,664.932,94.4414,470.268
0.0,17500.0,36.0,741.594,101.774,503.643
0.0,17500.0,38.0,817.726,109.018,529.934
0.0,17500.0,40.0,896.1,117.7,563.5
0.0,17500.0,42.0,973.34,123.569,596.68
0.0,17500.0,44.0,1049.07,131.5,629.682
0.0,17500.0,46.0,1126.06,139.818,662.121
0.0,17500.0,48.0,1202.57,148.607,696.872
0.0,17500.0,50.0,1280.9,159.4,733.6
0.0,20000.0,20.0,162.5,41.8,294.8
0.0,20000.0,22.0,258.199,49.4351,321.673
0.0,20000.0,24.0,355.85,59.0754,353.581
0.0,20000.0,26.0,454.15,69.4682,389.413
0.0,20000.0,28.0,551.161,78.8939,428.355
0.0,20000.0,30.0,647.5,87.5,468.4
0.0,20000.0,32.0,745.387,96.0806,505.599
0.0,20000.0,34.0,842.382,105.74,545.689
0.0,20000.0,36.0,938.267,116.452,589.458
0.0,20000.0,38.0,1037.43,124.758,627.355
0.0,20000.0,40.0,1135.9,136.1,669.7
0.0,20000.0,42.0,1232.69,145.814,710.136
0.0,20000.0,44.0,1330.63,155.941,753.564
0.0,20000.0,46.0,1426.45,167.225,795.168
0.0,20000.0,48.0,1524.63,180.309,843.66
0.0,20000.0,50.0,1621.4,190.6,887.0
0.0,23000.0,20.0,150.2,40.9,342.1
0.0,23000.0,22.0,240.861,50.9589,351.257
0.0,23000.0,24.0,330.26,59.1052,370.678
0.0,23000.0,26.0,419.24,66.7821,397.591
0.0,23000.0,28.0,508.999,76.312,429.156
0.0,23000.0,30.0,599.3,86.5,462.8
0.0,23000.0,32.0,688.767,93.7732,494.468
0.0,23000.0,34.0,780.934,101.413,530.156
0.0,23000.0,36.0,875.279,110.681,570.318
0.0,23000.0,38.0,960.805,120.434,603.507
0.0,23000.0,40.0,1049.3,127.6,640.8
0.0,23000.0,42.0,1139.46,139.702,678.57
0.0,23000.0,44.0,1228.25,146.559,713.657
0.0,23000.0,46.0,1318.23,159.104,753.665
0.0,23000.0,48.0,1408.79,169.4,795.745
0.0,23000.0,50.0,1498.4,179.3,835.2
0.0,25000.0,20.0,151.6,42.1,398.9
0.0,25000.0,22.0,241.951,50.9027,385.858
0.0,25000.0,24.0,332.736,59.6054,394.756
0.0,25000.0,26.0,423.545,68.2268,418.016
0.0,25000.0,28.0,513.62,76.8431,446.566
0.0,25000.0,30.0,603.6,85.3,477.3
0.0,25000.0,32.0,695.182,93.0283,508.442
0.0,25000.0,34.0,786.511,101.662,542.501
0.0,25000.0,36.0,877.181,111.546,579.325
0.0,25000.0,38.0,969.53,120.194,613.149
0.0,25000.0,40.0,1059.5,129.5,650.6
0.0,25000.0,42.0,1150.16,141.444,687.298
0.0,25000.0,44.0,1241.99,148.623,724.296
0.0,25000.0,46.0,1332.47,158.012,763.729
0.0,25000.0,48.0,1422.42,169.693,808.309
0.0,25000.0,50.0,1513.4,179.1,842.5
0.0,30000.0,20.0,126.57007542654927,35.14907767452325,333.03959820349934
0.0,30000.0,22.0,202.00366965388537,42.49840750933384,322.1508981790069
0.0,30000.0,24.0,277.79960829240304,49.76424784848048,329.5797935031852
0.0,30000.0,26.0,353.61558440988006,56.96221122765232,348.9994501946202
0.0,30000.0,28.0,428.81874762918363,64.15591664254531,372.8357012066781
