ata,component,qty,unit_mass_kg,total_mass_kg,x_m,y_m,z_m,mx_kgm,my_kgm,mz_kgm,notes,,EXPORT INSTRUCTIONS
21,Pack 1,1,77.1617,77.1617,37.72966,-1.312336,5.905512,2911.284706022,-101.2620767312,455.6793452904,"Aft of wing, LH",,"1. Bump version + change note on the Mass sheet (B1, B5)."
21,Pack 2,1,77.1617,77.1617,37.72966,1.312336,5.905512,2911.284706022,101.2620767312,455.6793452904,"Aft of wing, RH",,2. Update status (B2) and date (B3) on the Mass sheet.
21,Mix Manifold,1,39.68316,39.68316,34.44882,0,4.92126,1367.0380358712,0,195.2911479816,0,,3. File ? Save As ? CSV (Comma delimited) ? save THIS sheet only.
22,FCC 1,1,17.63696,17.63696,11.48294,-0.656168,5.905512,202.5241534624,-11.57280876928,104.15527892352,Avionics bay fwd,,   OR run the Export macro / use the Claude export button below.
22,FCC 2,1,17.63696,17.63696,11.48294,0.656168,5.905512,202.5241534624,11.57280876928,104.15527892352,Avionics bay fwd,,
22,Autothrottle Servo,1,6.61386,6.61386,13.12336,0,4.92126,86.7960657696,0,32.5485246636,Throttle quadrant,,
23,VHF Comm 1,1,8.81848,8.81848,10.498688,-0.656168,6.233596,92.58247015424,-5.78640438464,54.97084165408,0,,
23,VHF Comm 2,1,8.81848,8.81848,10.498688,0.656168,6.233596,92.58247015424,5.78640438464,54.97084165408,0,,
23,SATCOM,1,26.45544,26.45544,45.93176,0,8.530184,1215.1449207744,0,225.66977100096,Upper aft fuselage,,
23,CVR,1,11.0231,11.0231,55.77428,0,6.56168,614.805465868,0,72.330054808,Aft fuselage (crashworthy),,
24,IDG 1,1,77.1617,77.1617,41.0105,-1.64042,7.217848,3164.43989785,-126.577595914,556.9414220216,Engine accessory gearbox LH,,
24,IDG 2,1,77.1617,77.1617,41.0105,1.64042,7.217848,3164.43989785,126.577595914,556.9414220216,Engine accessory gearbox RH,,
24,APU Generator,1,55.1155,55.1155,63.97638,0,7.874016,3526.09017189,0,433.980328848,On APU,,
24,Main Battery,2,48.50164,97.00328,9.186352,0,2.952756,891.10627523456,0,286.42701703968,"Fwd equipment bay, 2x NiCd",,
24,TRU 1,1,39.68316,39.68316,9.84252,-0.984252,4.593176,390.5822959632,-39.05822959632,182.27173811616,0,,
24,TRU 2,1,39.68316,39.68316,9.84252,0.984252,4.593176,390.5822959632,39.05822959632,182.27173811616,0,,
25,Flight Deck Seats,2,77.1617,154.3234,10.498688,0,5.249344,1620.1932276992,0,810.0966138496,2 crew,,
25,Cabin Seats,9,99.2079,892.8711,27.88714,0,5.249344,24899.621367654,0,4686.9875515584,9 pax club + divan avg position,,
25,Galley Fwd,1,198.4158,198.4158,16.4042,-1.312336,5.577428,3254.85246636,-260.3881973088,1106.6498385624,0,,
25,Galley Aft,1,132.2772,132.2772,45.93176,1.312336,5.577428,6075.724603872,173.5921315392,737.7665590416,0,,
