mode,mach,altitude_ft,throttle,shaft_power_fraction,thrust_lbf,fuel_flow_lbm_s,fan1_speed_rpm,fan2_speed_rpm,fan1_shaft_power_hp,fan2_shaft_power_hp,fan_speed_delta_rpm,fan_speed_delta_fraction,fan_power_delta_hp,fan_power_delta_fraction,fan1_power_fraction,fan1_area_in2,fan2_area_in2,inlet_area_in2,nozzle_throat_area_in2,pycycle_point_name,pycycle_converged,pycycle_residual_norm,pycycle_solver_iterations,pycycle_solver_atol,pycycle_solver_rtol,pycycle_status,required_thrust_lbf,drag_lbf,required_thrust_to_weight,dynamic_pressure_lbf_ft2,velocity_ft_s,speed_of_sound_ft_s,lift_coefficient,parasite_cd0,wave_cd0,zero_lift_drag_coefficient,lift_dependent_k,induced_drag_coefficient,total_drag_coefficient,density_slug_ft3,temperature_R,pressure_psf,is_stall_limited,fan1_motor_terminal_hp,fan2_motor_terminal_hp,fan1_generator_electric_hp,fan2_generator_electric_hp,fan1_generator_shaft_hp,fan2_generator_shaft_hp,per_engine_motor_terminal_hp,per_engine_generator_electric_hp,per_engine_generator_shaft_hp,aircraft_motor_terminal_hp,aircraft_generator_electric_hp,aircraft_generator_shaft_hp,generator_shaft_power_hp,fan1_motor_efficiency,fan2_motor_efficiency,fan1_generator_efficiency,fan2_generator_efficiency,distribution_efficiency,inverter_efficiency,cable_efficiency,per_turbine_shaft_power_hp,per_turbine_shaft_power_kw,turboshaft_required_throttle,turboshaft_power_available_hp,turboshaft_fuel_flow_lb_hr_per_turbine,aircraft_turboshaft_fuel_flow_lb_hr,aircraft_turboshaft_fuel_flow_lbm_s,generator_turbine_freestream_mach,generator_turbine_deck_mach,generator_turbine_engine_face_mach,generator_turbine_pressure_recovery,generator_turbine_freestream_total_temperature_R,generator_turbine_freestream_total_pressure_psf,generator_turbine_total_temperature_R,generator_turbine_total_pressure_psf,generator_turbine_static_temperature_R,generator_turbine_static_pressure_psf,generator_turbine_density_slug_ft3,generator_turbine_velocity_ft_s,generator_turbine_corrected_airflow_lbm_s_per_turbine,generator_turbine_airflow_lbm_s_per_turbine,generator_turbine_engine_face_area_in2_per_turbine,aircraft_generator_turbine_engine_face_area_in2,turboshaft_status
fan,0.175,750.0,0.35,0.35,734.440766050756,0.0,3618.787898915322,3415.825695431853,502.6254968290873,197.9600348469173,202.96220348346878,0.05608568646543327,304.66546198217003,0.6061480444271382,0.7174363073508823,209.22887100936637,183.5491883032816,180.00000000786252,118.00000019420015,OD_mode1,True,,50,1e-06,1e-06,ok,16194.062060348091,16194.062060348091,0.6095642545117972,44.1500090931576,194.88890477724817,1113.6508844414182,1.5399128115769,0.022031140779668626,0.0,0.022031140779668626,0.3865527349839613,0.91664466422237,0.9386758050020386,0.0023248051669976346,516.0720376635943,2059.47564282951,False,525.603851327,209.958362225,547.332970246,218.638302848,575.088674006,242.511686794,735.562213552,765.971273094,817.6003608,1471.1244271,1531.94254619,1635.2007216,817.6003608,0.956281989867,0.942853777049,0.951736653816,0.901557800115,0.9603,0.97,0.99,817.6003608,609.684484054,,,,,,0.175,0.35,0.35,0.98,519.155851702,2103.97610661,519.155851702,2061.89658447,506.740704444,1894.41450201,0.00217782330351,386.24088783,81.139594471,79.0198640473,420.44788292,840.895765841,"Required power 622.127 kW is outside available range [716.678, 7168.142] kW at M=0.35, h=750.0 ft."
fan,0.175,750.0,0.5,0.5,1023.4368798318993,0.0,4075.6522009283526,3847.0664494449315,762.3346398379797,308.5642524543751,228.58575148342106,0.056085686465433375,453.7703873836046,0.5952377914770411,0.7118642528484965,209.22887100936637,183.5491883032816,190.67995818757814,118.00001445320326,OD_mode1,True,,6,1e-06,1e-06,ok,16194.062060348091,16194.062060348091,0.6095642545117972,44.1500090931576,194.88890477724817,1113.6508844414182,1.5399128115769,0.022031140779668626,0.0,0.022031140779668626,0.3865527349839613,0.91664466422237,0.9386758050020386,0.0023248051669976346,516.0720376635943,2059.47564282951,False,797.277434124,324.179908969,830.237877875,337.581910829,863.928028417,362.491688321,1121.45734309,1167.8197887,1226.41971674,2242.91468619,2335.63957741,2452.83943348,1226.41971674,0.956172352571,0.951830276698,0.961003521782,0.931281796813,0.9603,0.97,0.99,1226.41971674,914.541025278,21.0042201238,1251.44868985,1810.89638253,3621.79276507,1.00605354585,0.175,0.35,0.35,0.98,519.155851702,2103.97610661,519.155851702,2061.89658447,506.740704444,1894.41450201,0.00217782330351,386.24088783,81.139594471,79.0198640473,420.44788292,840.895765841,ok
fan,0.175,750.0,0.7,0.7,1412.0169139574539,0.0,4559.387048948254,4303.670696446386,1124.1528781935647,488.3757297663444,255.71635250186864,0.05608568646543323,635.7771484272203,0.5655611089559899,0.6971367035874092,209.22887100936637,183.5491883032816,219.7383817626452,118.00000000066493,OD_mode1,True,,6,1e-06,1e-06,ok,16194.062060348091,16194.062060348091,0.6095642545117972,44.1500090931576,194.88890477724817,1113.6508844414182,1.5399128115769,0.022031140779668626,0.0,0.022031140779668626,0.3865527349839613,0.91664466422237,0.9386758050020386,0.0023248051669976346,516.0720376635943,2059.47564282951,False,1178.01799486,510.165396097,1226.71872838,531.256270017,1272.88567367,558.747432547,1688.18339096,1757.9749984,1831.63310622,3376.36678192,3515.9499968,3663.26621243,1831.63310622,0.954274792995,0.957289015488,0.963730485586,0.950798588185,0.9603,0.97,0.99,1831.63310622,1365.84857209,23.1443778605,1869.01337264,2112.70658945,4225.41317889,1.17372588303,0.175,0.35,0.35,0.98,519.155851702,2103.97610661,519.155851702,2061.89658447,506.740704444,1894.41450201,0.00217782330351,386.24088783,81.139594471,79.0198640473,420.44788292,840.895765841,ok
fan,0.175,750.0,0.85,0.85,1721.919125496062,0.0,4864.222397949646,4591.409145640104,1408.39749136818,665.3450251518007,272.8132523095419,0.056085686465433285,743.0524662163795,0.5275871838528662,0.6791573592905163,209.22887100936637,183.5491883032816,240.34214069002334,118.00000457809396,OD_mode1,True,,6,1e-06,1e-06,ok,16194.062060348091,16194.062060348091,0.6095642545117972,44.1500090931576,194.88890477724817,1113.6508844414182,1.5399128115769,0.022031140779668626,0.0,0.022031140779668626,0.3865527349839613,0.91664466422237,0.9386758050020386,0.0023248051669976346,516.0720376635943,2059.47564282951,False,1478.74967875,693.806540242,1539.88303525,722.489368158,1599.44213092,753.632234152,2172.55621899,2262.37240341,2353.07436507,4345.11243799,4524.74480682,4706.14873014,2353.07436507,0.952424545956,0.958977735955,0.962762581705,0.958676308439,0.9603,0.97,0.99,2353.07436507,1754.68725186,24.9928111734,2401.09628954,2360.79412695,4721.58825389,1.31155229275,0.175,0.35,0.35,0.98,519.155851702,2103.97610661,519.155851702,2061.89658447,506.740704444,1894.41450201,0.00217782330351,386.24088783,81.139594471,79.0198640473,420.44788292,840.895765841,ok
fan,0.175,750.0,1.0,1.0,1949.692669171524,0.0,5135.0,4847.0,1587.6881302575246,864.2942801922176,288.0,0.0560856864654333,723.393850065307,0.45562717027302574,0.6475120390306189,209.22887100936637,183.5491883032816,254.16431880777802,117.99999999999847,OD_mode1,True,,6,1e-06,1e-06,ok,16194.062060348091,16194.062060348091,0.6095642545117972,44.1500090931576,194.88890477724817,1113.6508844414182,1.5399128115769,0.022031140779668626,0.0,0.022031140779668626,0.3865527349839613,0.91664466422237,0.9386758050020386,0.0023248051669976346,516.0720376635943,2059.47564282951,False,1667.23317783,901.104716061,1736.15867732,938.357509176,1805.7480055,974.962893425,2568.33789389,2674.51618649,2780.71089892,5136.67578777,5349.03237298,5561.42179785,2780.71089892,0.952289188683,0.959149657955,0.961462325878,0.96245458725,0.9603,0.97,0.99,2780.71089892,2073.57576023,26.5083223776,2837.46009935,2558.28552716,5116.57105432,1.42126973731,0.175,0.35,0.35,0.98,519.155851702,2103.97610661,519.155851702,2061.89658447,506.740704444,1894.41450201,0.00217782330351,386.24088783,81.139594471,79.0198640473,420.44788292,840.895765841,ok
fan,0.35,1500.0,0.35,0.35,555.3853561629852,0.0,3618.787898915322,3415.825695431853,512.2616812345901,179.69641538737554,202.96220348346878,0.05608568646543327,332.56526584721456,0.6492097262588657,0.740307373720134,209.22887100936637,183.5491883032816,180.000000007289,118.00000001135443,OD_mode1,True,,50,1e-06,1e-06,ok,3664.6037996463056,3664.6037996463056,0.13794015824368674,171.84085066959233,388.79882393480796,1110.8537826708798,0.39564029373034587,0.019822492934030253,0.0,0.019822492934030253,0.22201441285183438,0.03475219179071236,0.05457468472474261,0.002273560543104714,513.4829080914114,2003.97493492236,False,535.719959498,191.314843897,557.867290948,199.224038214,585.80054199,222.967532307,727.034803394,757.091329162,808.768074297,1454.06960679,1514.18265832,1617.53614859,808.768074297,0.956211677674,0.939270637485,0.952316105843,0.893511428109,0.9603,0.97,0.99,808.768074297,603.098249143,,,,,,0.35,0.35,0.35,0.98,525.89711862,2181.1646078,525.89711862,2137.54131564,513.32076,1963.91482361,0.00222878020243,388.740479118,81.139594471,81.3921269776,420.44788292,840.895765841,"Required power 615.406 kW is outside available range [660.380, 6605.387] kW at M=0.35, h=1500.0 ft."
fan,0.35,1500.0,0.5,0.5,808.7528436734451,0.0,4075.6522009283526,3847.0664494449315,776.4773091431205,292.15166360821644,228.58575148342106,0.056085686465433375,484.325645534904,0.623747326331249,0.7266107591524208,209.22887100936637,183.5491883032816,190.4486527715515,118.00000039333908,OD_mode1,True,,7,1e-06,1e-06,ok,3664.6037996463056,3664.6037996463056,0.13794015824368674,171.84085066959233,388.79882393480796,1110.8537826708798,0.39564029373034587,0.019822492934030253,0.0,0.019822492934030253,0.22201441285183438,0.03475219179071236,0.05457468472474261,0.002273560543104714,513.4829080914114,2003.97493492236,False,812.262076789,307.339203098,845.842004362,320.044989168,879.930591159,344.775869682,1119.60127989,1165.88699353,1224.70646084,2239.20255977,2331.77398706,2449.41292168,1224.70646084,0.955944308287,0.950583787111,0.961259913975,0.928269688545,0.9603,0.97,0.99,1224.70646084,913.263450576,21.3665978215,1249.70046955,1808.75374421,3617.50748842,1.00486319123,0.35,0.35,0.35,0.98,525.89711862,2181.1646078,525.89711862,2137.54131564,513.32076,1963.91482361,0.00222878020243,388.740479118,81.139594471,81.3921269776,420.44788292,840.895765841,ok
fan,0.35,1500.0,0.7,0.7,1164.1865274318886,0.0,4559.387048948254,4303.670696446386,1145.5584676216495,479.1118352577397,255.71635250186864,0.05608568646543323,666.4466323639099,0.5817657074697834,0.7051021155439268,209.22887100936637,183.5491883032816,218.13015490130726,118.00000728432298,OD_mode1,True,,6,1e-06,1e-06,ok,3664.6037996463056,3664.6037996463056,0.13794015824368674,171.84085066959233,388.79882393480796,1110.8537826708798,0.39564029373034587,0.019822492934030253,0.0,0.019822492934030253,0.22201441285183438,0.03475219179071236,0.05457468472474261,0.002273560543104714,513.4829080914114,2003.97493492236,False,1200.92555182,500.590518643,1250.57331232,521.285555184,1297.649108,548.61654223,1701.51607046,1771.8588675,1846.26565023,3403.03214093,3543.71773501,3692.53130046,1846.26565023,0.953896322619,0.957093307633,0.963722245567,0.950181985153,0.9603,0.97,0.99,1846.26565023,1376.76005828,23.7538109637,1883.94454,2117.11010522,4234.22021045,1.17617228068,0.35,0.35,0.35,0.98,525.89711862,2181.1646078,525.89711862,2137.54131564,513.32076,1963.91482361,0.00222878020243,388.740479118,81.139594471,81.3921269776,420.44788292,840.895765841,ok
fan,0.35,1500.0,0.85,0.85,1456.7989100901873,0.0,4864.222397949646,4591.409145640104,1437.3788276552916,665.9406774770092,272.8132523095419,0.056085686465433285,771.4381501782825,0.5366978665162909,0.6833858689314437,209.22887100936637,183.5491883032816,238.30071972672798,118.0000043121619,OD_mode1,True,,6,1e-06,1e-06,ok,3664.6037996463056,3664.6037996463056,0.13794015824368674,171.84085066959233,388.79882393480796,1110.8537826708798,0.39564029373034587,0.019822492934030253,0.0,0.019822492934030253,0.22201441285183438,0.03475219179071236,0.05457468472474261,0.002273560543104714,513.4829080914114,2003.97493492236,False,1509.97111793,694.426366525,1572.39520768,723.134818833,1633.52766967,754.291886939,2204.39748446,2295.53002651,2387.81955661,4408.79496892,4591.06005302,4775.63911321,2387.81955661,0.951924716032,0.958979539918,0.962576414759,0.958693618948,0.9603,0.97,0.99,2387.81955661,1780.59673672,25.8381141684,2436.5505666,2374.22978533,4748.45957066,1.3190165474,0.35,0.35,0.35,0.98,525.89711862,2181.1646078,525.89711862,2137.54131564,513.32076,1963.91482361,0.00222878020243,388.740479118,81.139594471,81.3921269776,420.44788292,840.895765841,ok
fan,0.35,1500.0,1.0,1.0,1683.5385867743023,0.0,5135.0,4847.0,1638.0125244644921,875.1632602026921,288.0,0.0560856864654333,762.8492642618,0.4657163805943394,0.6517699774357054,209.22887100936637,183.5491883032816,252.7117466431837,117.99999999995467,OD_mode1,True,,5,1e-06,1e-06,ok,3664.6037996463056,3664.6037996463056,0.13794015824368674,171.84085066959233,388.79882393480796,1110.8537826708798,0.39564029373034587,0.019822492934030253,0.0,0.019822492934030253,0.22201441285183438,0.03475219179071236,0.05457468472474261,0.002273560543104714,513.4829080914114,2003.97493492236,False,1721.5139463,912.490864767,1792.68348047,950.214375474,1865.39947104,987.161498894,2634.00481107,2742.89785595,2852.56096993,5268.00962213,5485.7957119,5705.12193987,2852.56096993,0.951495355577,0.959092626561,0.961018542305,0.962572361805,0.9603,0.97,0.99,2852.56096993,2127.15434896,27.6226721473,2910.7764983,2589.49295601,5178.98591203,1.43860719779,0.35,0.35,0.35,0.98,525.89711862,2181.1646078,525.89711862,2137.54131564,513.32076,1963.91482361,0.00222878020243,388.740479118,81.139594471,81.3921269776,420.44788292,840.895765841,ok
