quantity,value
deck_csv,propulsion\data\duality_engine_deck.csv
output_csv,propulsion\data\duality_powertrain_deck.csv
number_duality_engines,2
motors_per_duality_engine,2
number_motors,4
generators_per_motor,1
number_generators,4
number_turbines,2
unit_motor_shaft_power_hp,1750.5594982104178
unit_motor_shaft_power_kw,1305.391993012632
unit_motor_rated_power_hp,1750.5594982104178
unit_motor_rated_power_kw,1305.391993012632
unit_generator_electric_power_hp,1905.2148379605615
unit_generator_electric_power_kw,1420.7184600038265
unit_generator_shaft_power_hp,1984.476157506868
unit_generator_shaft_power_kw,1479.8236158109487
unit_turbine_shaft_power_hp,3501.8072532591937
unit_turbine_shaft_power_kw,2611.297219061243
aircraft_generator_shaft_power_hp,7003.614506518387
aircraft_generator_shaft_power_kw,5222.594438122486
aircraft_generator_turbine_inlet_area_in2,840.8957658407539
sizing_mach,1.9
sizing_altitude_ft,44999.99999999999
sizing_inlet_area_in2,244.8326420245827
sizing_inlet_equivalent_diameter_in,17.65589424718235
sizing_fan1_area_in2,209.22887101158906
sizing_fan1_equivalent_diameter_in,16.32171781621799
sizing_fan2_area_in2,183.5491883052299
sizing_fan2_equivalent_diameter_in,15.28731778155539
sizing_nozzle_throat_area_in2,246.0007014526196
sizing_nozzle_throat_equivalent_diameter_in,17.697960931193855
motor_peak_speed_rpm,6000.0
motor_peak_torque_N_m,1385.0639224036086
motor_peak_efficiency,0.96
motor_rated_torque_N_m,2077.595883605413
generator_peak_speed_rpm,12000.0
generator_peak_torque_N_m,753.714552171714
generator_peak_efficiency,0.965
generator_rated_torque_N_m,1130.571828257571
motor_efficiency_map_csv,propulsion\data\duality_motor_efficiency_map.csv
motor_efficiency_map_png,propulsion\data\duality_motor_efficiency_map.png
